100,0.663,0.441,0.423,0.339
200,1.609,1.07,0.986,0.786
300,2.673,1.726,1.61,1.283
400,3.818,2.479,2.31,1.868
100,0.675,0.423,0.417,0.334
200,1.595,1.027,0.946,0.765
300,2.584,1.69,1.582,1.291
400,3.787,2.547,2.287,1.838
500,5.068,3.288,2.992,2.42
600,6.459,4.182,3.814,3.013
700,7.745,4.927,4.596,3.605
800,9.118,5.953,5.389,4.277
900,10.468,6.955,6.205,4.876
1000,12.243,7.96,6.959,5.827
1100,13.789,8.752,7.904,6.352
1200,15.36,9.923,8.891,7.182
1300,17.23,10.94,9.884,7.738
1400,18.509,12.174,10.627,8.637
1500,20.114,13.121,11.473,9.364
1600,22.266,13.993,12.876,9.89
1700,24.108,14.935,13.646,10.945
1800,25.61,16.214,14.76,11.626
1900,26.842,17.633,15.73,12.318
2000,28.938,18.713,16.062,12.964
